s0,v0,a,t0,tf,
10,10,-4,0,1,
10,10,-2.66667,0,1,
10,10,-1.33333,0,1,
10,10,0,0,1,
10,10,0.666667,0,1,
10,10,1.33333,0,1,
10,10,2,0,1,
18,6,-4,1,1,
18,6,-2.66667,1,1,
18,6,-1.33333,1,1,
18,6,0,1,1,
18,6,0.666667,1,1,
18,6,1.33333,1,1,
18.6667,7.33333,-2,1,1,
18.6667,7.33333,-0.666667,1,1,
19.3333,8.66667,-4,1,1,
18.6667,7.33333,0.666667,1,1,
19.3333,8.66667,-2.66667,1,1,
18.6667,7.33333,2,1,1,
19.3333,8.66667,-0.666667,1,1,
20,10,-4,1,1,
19.3333,8.66667,0.666667,1,1,
19.3333,8.66667,1.33333,1,1,
20.3333,10.6667,-4,1,1,
20,10,-1.33333,1,1,
20,10,-0.666667,1,1,
20.3333,10.6667,-2,1,1,
20.6667,11.3333,-3.33333,1,1,
20.3333,10.6667,-0.666667,1,1,
21,12,-4,1,1,
21,12,-3.33333,1,1,
20.3333,10.6667,1.33333,1,1,
20.3333,10.6667,2,1,1,
21,12,-1.33333,1,1,
20.6667,11.3333,1.33333,1,1,
20.6667,11.3333,2,1,1,
21,12,0.666667,1,1,
21,12,1.33333,1,1,
21,12,2,1,1,
22,2,-2,2,1,
22,2,-0.666667,2,1,
22,2,0.333333,2,1,
22,2,1.33333,2,1,
22.6667,3.33333,-2,2,1,
22.6667,3.33333,-0.666667,2,1,
22.6667,3.33333,0.333333,2,1,
22.6667,3.33333,1.33333,2,1,
23.3333,4.66667,-2,2,1,
23.3333,4.66667,-0.666667,2,1,
23.3333,4.66667,0.333333,2,1,
26,4.66667,-4,2,1,
23.3333,4.66667,2,2,1,
26,4.66667,-2.66667,2,1,
25,5.33333,-1.33333,2,1,
24,6,0.333333,2,1,
25,5.33333,0.333333,2,1,
24,6,1.66667,2,1,
25,5.33333,1.66667,2,1,
24.3333,6.66667,1,2,1,
25.6667,6.66667,-0.666667,2,1,
28,6,-3.33333,2,1,
28,6,-2.66667,2,1,
25.6667,6.66667,1.33333,2,1,
25.6667,6.66667,2,2,1,
26.3333,8,-1.33333,2,1,
28,6,0.333333,2,1,
28,6,1,2,1,
28,6,1.66667,2,1,
27.6667,8,-0.666667,2,1,
29,6.66667,0,2,1,
27.6667,8,1,2,1,
29,6.66667,1.66667,2,1,
30.3333,8,-2.66667,2,1,
28.3333,9.33333,-0.666667,2,1,
29.6667,9.33333,-2.66667,2,1,
29.3333,8.66667,0.333333,2,1,
29.3333,8.66667,1,2,1,
30.3333,8,1,2,1,
29.6667,9.33333,0.333333,2,1,
31,8,1,2,1,
31,8,1.66667,2,1,
31.3333,8.66667,0.666667,2,1,
30.6667,10,0,2,1,
31.3333,8.66667,2,2,1,
32.3333,10.6667,-3.33333,2,1,
31.6667,12,-4,2,1,
31.6667,12,-3.33333,2,1,
32.3333,10.6667,-1.33333,2,1,
32.3333,10.6667,-0.666667,2,1,
32,12.6667,-3.33333,2,1,
32.6667,12.6667,-4,2,1,
32,12.6667,-2,2,1,
32,12.6667,-1.33333,2,1,
32,12.6667,-0.666667,2,1,
32,12.6667,0,2,1,
33.6667,13.3333,-4,2,1,
32,12.6667,1.33333,2,1,
33.3333,12.6667,-0.666667,2,1,
33.6667,13.3333,-2,2,1,
33,13.3333,0,2,1,
34,14,-2.66667,2,1,
33.3333,12.6667,2,2,1,
33,13.3333,2,2,1,
33.6667,13.3333,1.33333,2,1,
34,14,0,2,1,
34,14,1,2,1,
34,14,2,2,1,
23,0,0.333333,3,1,
23,0,1.33333,3,1,
23.6667,1.33333,-1.33333,3,1,
23.6667,1.33333,0.333333,3,1,
24.1667,2.33333,-2,3,1,
23.6667,1.33333,1.66667,3,1,
25,1.33333,0,3,1,
24.6667,3.33333,-2.66667,3,1,
25,1.33333,1.66667,3,1,
24.6667,3.33333,-0.666667,3,1,
26.1667,3.66667,-3.33333,3,1,
26.1667,3.66667,-2.66667,3,1,
26.1667,3.66667,-2,3,1,
25.6667,2.66667,1.66667,3,1,
26.1667,3.66667,-0.666667,3,1,
27,2.66667,0.333333,3,1,
27,2.66667,1,3,1,
26.1667,3.66667,1.33333,3,1,
28.1667,5,-4,3,1,
26.6667,4.66667,0.333333,3,1,
27.6667,4,0.333333,3,1,
28.1667,5,-2,3,1,
28.1667,5,-1.33333,3,1,
28.1667,5,0,3,1,
29,6.66667,-4,3,1,
29.6667,4,0.666667,3,1,
32.3333,2.66667,-1.33333,3,1,
29,6.66667,-2,3,1,
32.6667,3.33333,-2,3,1,
32.3333,2.66667,0.666667,3,1,
29,6.66667,0,3,1,
29,6.66667,0.666667,3,1,
32,6,-3.33333,3,1,
32,6,-2.66667,3,1,
30.1667,6.33333,1,3,1,
30.1667,6.33333,1.66667,3,1,
31.5,7.66667,-2.66667,3,1,
32,6,0.333333,3,1,
34.1667,6.33333,-4,3,1,
31.1667,7,1.33333,3,1,
34.1667,6.33333,-2.66667,3,1,
34.1667,6.33333,-2,3,1,
34.1667,6.33333,-1.33333,3,1,
34.5,7,-2.66667,3,1,
34.1667,6.33333,0,3,1,
34.1667,6.33333,0.666667,3,1,
34.1667,6.33333,1.33333,3,1,
34.1667,6.33333,2,3,1,
33,8,1.66667,3,1,
33.3333,8.66667,0.333333,3,1,
37,5.33333,0.333333,3,1,
35.6667,6.66667,1,3,1,
34.8333,7.66667,1.33333,3,1,
35.3333,7.33333,1.66667,3,1,
36.1667,9,-2.66667,3,1,
36.1667,9,-2,3,1,
37.6667,6.66667,0.333333,3,1,
37.6667,6.66667,1,3,1,
44,11.3333,0,3,1,
44.6667,12.6667,-3.33333,3,1,
44.6667,12.6667,-2.66667,3,1,
45.6667,12,-2.66667,3,1,
44.3333,12,0.666667,3,1,
44.6667,12.6667,-0.666667,3,1,
44.6667,12.6667,0,3,1,
45.6667,12,0,3,1,
45.3333,14,-2.66667,3,1,
45.3333,14,-2,3,1,
45.3333,14,-1.33333,3,1,
46.6667,11.3333,2,3,1,
46.3333,13.3333,-0.666667,3,1,
47,14.6667,-4,3,1,
47,14.6667,-3.33333,3,1,
45.3333,14,2,3,1,
48,14,-2.66667,3,1,
47,14.6667,-1.33333,3,1,
47,14.6667,-0.666667,3,1,
47,14.6667,0,3,1,
48,14,0,3,1,
47,14.6667,1.33333,3,1,
48,14,1.33333,3,1,
49,16,-4,3,1,
47.3333,15.3333,1.33333,3,1,
49,16,-2.66667,3,1,
48.5,15,1,3,1,
48.5,15,1.66667,3,1,
49,16,0,3,1,
49,16,1,3,1,
49,16,2,3,1,
23.1667,0.333333,0,4,1,
23.1667,0.333333,1.33333,4,1,
24.3333,2.22045e-16,0.333333,4,1,
24.3333,2.22045e-16,1.66667,4,1,
23.6667,1.33333,1.33333,4,1,
25.5,0.333333,0.666667,4,1,
25.1667,1.66667,-0.666667,4,1,
25.1667,1.66667,0,4,1,
26.3333,1.33333,-0.666667,4,1,
25.1667,1.66667,1.66667,4,1,
26.3333,1.33333,1,4,1,
25.8333,3,-0.666667,4,1,
27.1667,3,-2.66667,4,1,
27.1667,3,-2,4,1,
28.1667,0.333333,2,4,1,
27.1667,3,-0.666667,4,1,
28.8333,1.66667,-0.666667,4,1,
28.5,1,2,4,1,
28.8333,1.66667,1,4,1,
28.8333,1.66667,1.66667,4,1,
29.8333,3,-2,4,1,
31.1667,1,0,4,1,
29.8333,3,-0.666667,4,1,
29.8333,3,0.333333,4,1,
29.5,3,1.66667,4,1,
29.8333,3,1.66667,4,1,
30.5,5,-2.66667,4,1,
31.5,5,-4,4,1,
30.5,5,-1.33333,4,1,
31.5,5,-2.66667,4,1,
31.5,5,-2,4,1,
32.5,3.66667,-0.666667,4,1,
30.5,5,1.33333,4,1,
31.5,5,0,4,1,
34,4.66667,-3.33333,4,1,
33.6667,2.66667,2,4,1,
34.6667,4.66667,-3.33333,4,1,
34,4.66667,-1.33333,4,1,
35.3333,3.33333,-0.666667,4,1,
34.6667,4.66667,-1.33333,4,1,
34,4.66667,0.666667,4,1,
36.6667,3.33333,-1.33333,4,1,
34.6667,4.66667,0.666667,4,1,
34.6667,4.66667,1.66667,4,1,
36.6667,3.33333,1,4,1,
36.6667,3.33333,1.66667,4,1,
39.1667,3.66667,-3.33333,4,1,
37.8333,5,-2.66667,4,1,
39.1667,3.66667,-2,4,1,
39.1667,3.66667,-1.33333,4,1,
37.8333,5,-0.666667,4,1,
39.1667,3.66667,0,4,1,
35.6667,6.66667,1.66667,4,1,
39.1667,3.66667,1.33333,4,1,
37.8333,5,2,4,1,
38.1667,6.33333,-0.666667,4,1,
39.8333,5,-0.666667,4,1,
40.1667,4.33333,0.666667,4,1,
40.1667,4.33333,1.33333,4,1,
39.8333,5,1.33333,4,1,
40.5,6.33333,-2,4,1,
40.8333,7,-3.33333,4,1,
40.8333,7,-2.66667,4,1,
41.1667,7.66667,-4,4,1,
41.1667,7.66667,-3.33333,4,1,
42.5,5.66667,-1.33333,4,1,
41.1667,7.66667,-2,4,1,
41.5,8.33333,-3.33333,4,1,
42.8333,7.66667,-4,4,1,
42.8333,7.66667,-3.33333,4,1,
42.5,5.66667,2,4,1,
41.5,8.33333,-0.666667,4,1,
42.1667,9,-2.66667,4,1,
44.5,7,-2.66667,4,1,
43.5,9,-4,4,1,
42.1667,9,-0.666667,4,1,
44.5,7,-0.666667,4,1,
42.8333,7.66667,2,4,1,
43.1667,9,-0.666667,4,1,
43.5,9,-0.666667,4,1,
43.5,9,0,4,1,
43.1667,9,1.33333,4,1,
56.3333,9.33333,-4,4,1,
56,10,-4,4,1,
56.3333,9.33333,-2.66667,4,1,
55.3333,11.3333,-4,4,1,
56.3333,9.33333,-1.33333,4,1,
55.3333,11.3333,-2.66667,4,1,
55.3333,11.3333,-2,4,1,
55.3333,11.3333,-1.33333,4,1,
55.3333,11.3333,-0.666667,4,1,
56.3333,9.33333,2,4,1,
56,10,2,4,1,
58,11.3333,-4,4,1,
58,11.3333,-3.33333,4,1,
56.6667,12.6667,-2.66667,4,1,
58.3333,12,-4,4,1,
59.6667,10.6667,-3.33333,4,1,
58.3333,12,-2.66667,4,1,
58.6667,12.6667,-4,4,1,
58.6667,12.6667,-3.33333,4,1,
59.6667,10.6667,-0.666667,4,1,
59,13.3333,-4,4,1,
57.6667,12,2,4,1,
58.3333,12,1.33333,4,1,
58.3333,12,2,4,1,
60,11.3333,0.666667,4,1,
58.6667,12.6667,1.33333,4,1,
58.6667,12.6667,2,4,1,
59,13.3333,0.666667,4,1,
59.3333,12.6667,2,4,1,
63,12,-3.33333,4,1,
61,13.3333,-1.33333,4,1,
62,14,-4,4,1,
61.3333,14,-2,4,1,
60.3333,16,-3.33333,4,1,
61,13.3333,1.33333,4,1,
61,13.3333,2,4,1,
61.6667,14.6667,-1.33333,4,1,
63.6667,13.3333,-2,4,1,
62.3333,16,-4,4,1,
60.3333,16,0.666667,4,1,
62.6667,15.3333,-2,4,1,
63.6667,13.3333,0.666667,4,1,
63.6667,13.3333,1.33333,4,1,
63.3333,16.6667,-4,4,1,
63.3333,16.6667,-3.33333,4,1,
64,16,-2.66667,4,1,
63.3333,16.6667,-2,4,1,
64.3333,16.6667,-3.33333,4,1,
65,16,-2.66667,4,1,
63.3333,16.6667,0,4,1,
65,16,-1.33333,4,1,
65,16,-0.666667,4,1,
65,16,0,4,1,
64.3333,16.6667,0.666667,4,1,
64.3333,16.6667,1.33333,4,1,
66,18,-4,4,1,
65.5,17,0,4,1,
65.5,17,1,4,1,
65.5,17,1.66667,4,1,
66,18,0,4,1,
66,18,1,4,1,
66,18,2,4,1,
23.5,0.333333,0.666667,5,1,
24.5,0.333333,0.666667,5,1,
25.1667,1.66667,-1.33333,5,1,
26.1667,1,0,5,1,
26.1667,1,1,5,1,
27.3333,0.666667,0.333333,5,1,
25.6667,2.66667,0.666667,5,1,
25.6667,2.66667,1.66667,5,1,
27.6667,3.33333,-2.66667,5,1,
28.8333,0.333333,2,5,1,
28.1667,2.33333,1,5,1,
29.8333,2.33333,-1.33333,5,1,
30.1667,1,1.66667,5,1,
31.8333,1,-0.666667,5,1,
29.8333,2.33333,2,5,1,
31,2.66667,0,5,1,
32.1667,1,2,5,1,
33,3.33333,-2.66667,5,1,
34.1667,2.33333,-2,5,1,
34.5,1,1.33333,5,1,
33.6667,4.66667,-2.66667,5,1,
34.8333,3.66667,-2,5,1,
33.3333,4.66667,0,5,1,
35.5,3,0,5,1,
35.8333,3,0.333333,5,1,
34.8333,3.66667,2,5,1,
38,3.33333,-2.66667,5,1,
36.5,5,-2,5,1,
38,3.33333,-0.666667,5,1,
36.5,5,0,5,1,
38,3.33333,1.33333,5,1,
41.1667,0.333333,2,5,1,
39,5.33333,-2.66667,5,1,
41.5,2.33333,-0.666667,5,1,
39,5.33333,-0.666667,5,1,
41.8333,1.66667,2,5,1,
39,5.33333,1.33333,5,1,
42.8333,3.66667,-2,5,1,
40.1667,6.33333,-0.666667,5,1,
40.1667,6.33333,0.333333,5,1,
40.1667,6.33333,1.33333,5,1,
42.5,4.33333,2,5,1,
44.1667,5.66667,-2.66667,5,1,
44.5,4.33333,0.333333,5,1,
43.5,5,2,5,1,
44.8333,5,0.333333,5,1,
46.8333,3.66667,0,5,1,
45.1667,5.66667,0.333333,5,1,
47.5,4.33333,-0.666667,5,1,
47.1667,4.33333,1,5,1,
48.8333,4.33333,-1.33333,5,1,
50.1667,4.33333,-2.66667,5,1,
47.8333,5.66667,0.333333,5,1,
47.8333,5.66667,1.33333,5,1,
49.1667,7.66667,-4,5,1,
49.1667,7.66667,-2.66667,5,1,
51.1667,6.33333,-2.66667,5,1,
49.1667,7.66667,0,5,1,
49.5,7.66667,0.333333,5,1,
49.1667,7.66667,2,5,1,
52.1667,8.33333,-4,5,1,
51.5,9.66667,-4,5,1,
52.1667,8.33333,-1.33333,5,1,
52.1667,8.33333,0,5,1,
64.6667,7.33333,-1.33333,5,1,
64.6667,7.33333,0,5,1,
65,8,-0.666667,5,1,
65.6667,9.33333,-3.33333,5,1,
65,8,2,5,1,
65.6667,9.33333,-0.666667,5,1,
65.6667,9.33333,0.333333,5,1,
67.3333,7.33333,2,5,1,
66,10,0.333333,5,1,
67.6667,8,2,5,1,
66.3333,10.6667,0.333333,5,1,
66.6667,11.3333,-0.666667,5,1,
68,10,0.333333,5,1,
69.6667,9.33333,-0.666667,5,1,
69,9.33333,1.66667,5,1,
70.3333,9.33333,0,5,1,
70,10,0.333333,5,1,
70,10,1.33333,5,1,
71.6667,12,-4,5,1,
73.3333,8.66667,0.666667,5,1,
70.6667,14,-3.33333,5,1,
73.6667,12,-4,5,1,
74,10,0.333333,5,1,
70.6667,14,0,5,1,
71,13.3333,1.66667,5,1,
70.6667,14,2,5,1,
73.6667,12,1,5,1,
76.3333,12,-3.33333,5,1,
74.3333,12,1.66667,5,1,
74.6667,12.6667,0.666667,5,1,
76,11.3333,1.66667,5,1,
76.3333,12,0.666667,5,1,
75.6667,13.3333,0.333333,5,1,
78.3333,13.3333,-4,5,1,
78.3333,13.3333,-2.66667,5,1,
77,13.3333,1,5,1,
79.3333,13.3333,-2.66667,5,1,
78.3333,13.3333,0.333333,5,1,
76.6667,16.6667,-2,5,1,
79.3333,13.3333,0.333333,5,1,
79.3333,13.3333,1.33333,5,1,
79.6667,13.3333,1.66667,5,1,
76.6667,16.6667,2,5,1,
80.3333,14.6667,0,5,1,
80,16.6667,-2,5,1,
82,14,0.333333,5,1,
80.6667,15.3333,1.33333,5,1,
81,16,0.333333,5,1,
81.6667,18,-4,5,1,
81.3333,17.3333,-0.666667,5,1,
81.3333,17.3333,0.333333,5,1,
83,18,-3.33333,5,1,
81.6667,18,0.333333,5,1,
83.3333,18.6667,-3.33333,5,1,
84,18,-2,5,1,
83,18,1,5,1,
83,18,2,5,1,
83.3333,18.6667,1,5,1,
83.3333,18.6667,2,5,1,
84.5,19,0.333333,5,1,
84.5,19,1.66667,5,1,
85,20,0.333333,5,1,
85,20,1.66667,5,1,
24.1667,1,0,6,1,
24.1667,1,2,6,1,
26.1667,0.333333,0.333333,6,1,
26.1667,0.333333,1.33333,6,1,
27.1667,1,0,6,1,
27.1667,1,1,6,1,
28.1667,1,0,6,1,
28.1667,1,1.66667,6,1,
29.6667,0.666667,0.333333,6,1,
29.6667,0.666667,1.66667,6,1,
29.1667,4.33333,-2.66667,6,1,
31,3.33333,-2.66667,6,1,
32.5,0.333333,1.33333,6,1,
32,2.66667,-1.33333,6,1,
29.1667,4.33333,2,6,1,
33.6667,2.66667,-2.66667,6,1,
32,2.66667,1.66667,6,1,
35,0.666667,0.666667,6,1,
35.5,0.333333,1.33333,6,1,
33.1667,4.33333,-0.666667,6,1,
37,2,-2,6,1,
33.1667,4.33333,2,6,1,
37,2,0,6,1,
36.1667,2.33333,2,6,1,
37.5,1.66667,2,6,1,
39,3.33333,-2.66667,6,1,
40,0.666667,1.66667,6,1,
40.5,3,-2.66667,6,1,
39,3.33333,1.33333,6,1,
40.5,3,0,6,1,
41,2.66667,0.666667,6,1,
42.5,2.33333,-0.666667,6,1,
42,4.66667,-3.33333,6,1,
42.5,2.33333,1.33333,6,1,
42,4.66667,-1.33333,6,1,
44.5,3.66667,-3.33333,6,1,
44,4.66667,-3.33333,6,1,
44.5,3.66667,-1.33333,6,1,
44,4.66667,-1.33333,6,1,
44,4.66667,0.666667,6,1,
45,6.66667,-3.33333,6,1,
46.1667,5.66667,-2.66667,6,1,
46.1667,5.66667,-1.33333,6,1,
45,6.66667,0.666667,6,1,
46.1667,5.66667,1.33333,6,1,
47.1667,7.66667,-3.33333,6,1,
49,4.66667,0,6,1,
47.1667,7.66667,-1.33333,6,1,
49,4.66667,2,6,1,
47.1667,7.66667,0.666667,6,1,
52.5,3,0.333333,6,1,
49.5,7,-0.666667,6,1,
51,6,-0.666667,6,1,
49.5,7,1.33333,6,1,
53.6667,6,-4,6,1,
56.1667,3.66667,-3.33333,6,1,
53.6667,6,-2,6,1,
54.8333,3.66667,1.33333,6,1,
55.5,5,-1.33333,6,1,
56.1667,3.66667,1,6,1,
55.5,5,0.666667,6,1,
54.1667,7,0.333333,6,1,
54.1667,7,1.33333,6,1,
56.8333,7.66667,-4,6,1,
56.8333,7.66667,-2.66667,6,1,
57.3333,8,-3.33333,6,1,
59.1667,5.66667,-1.33333,6,1,
56.8333,7.66667,0.333333,6,1,
59.1667,5.66667,0.666667,6,1,
59.1667,5.66667,1.66667,6,1,
57.3333,8,1.66667,6,1,
57.8333,9.66667,-1.33333,6,1,
59.8333,7,1.33333,6,1,
60.5,8.33333,-1.33333,6,1,
72,7.33333,0,6,1,
72,7.33333,1,6,1,
72.6667,7.33333,0.666667,6,1,
72.6667,7.33333,2,6,1,
74,10,-4,6,1,
74,10,-2.66667,6,1,
74,10,-1.33333,6,1,
75.1667,9.66667,-2,6,1,
74,10,0.666667,6,1,
74,10,1.66667,6,1,
78.6667,8.66667,-4,6,1,
75.6667,9.33333,1.66667,6,1,
77.6667,10.6667,-4,6,1,
76.6667,10,0.333333,6,1,
76.1667,10.3333,1.66667,6,1,
78.1667,10.3333,-1.33333,6,1,
77.6667,10.6667,0,6,1,
79.1667,11,-2.66667,6,1,
77.6667,10.6667,2,6,1,
81.6667,8,0.333333,6,1,
82.3333,9.33333,-2.66667,6,1,
80.1667,10.3333,0.666667,6,1,
83.6667,8,-0.666667,6,1,
83.6667,8,0.333333,6,1,
83,10.6667,-2.66667,6,1,
80.6667,11.3333,1.66667,6,1,
86.6667,8.66667,-4,6,1,
84.1667,10.3333,-1.33333,6,1,
86.6667,8.66667,-2,6,1,
84.1667,10.3333,1,6,1,
84.1667,10.3333,2,6,1,
86.6667,8.66667,1.66667,6,1,
84.6667,14,-3.33333,6,1,
89.6667,9.33333,-2.66667,6,1,
86.1667,13,-2,6,1,
89.6667,9.33333,-0.666667,6,1,
89.6667,9.33333,0.333333,6,1,
84.6667,14,2,6,1,
85.1667,15,0,6,1,
88.6667,12.6667,-1.33333,6,1,
87.1667,13.6667,0.666667,6,1,
87.1667,13.6667,1.66667,6,1,
89.1667,13.6667,-1.33333,6,1,
91.3333,10.6667,1.33333,6,1,
90.8333,14.3333,-4,6,1,
89.1667,13.6667,2,6,1,
92.8333,13.6667,-4,6,1,
90.8333,14.3333,0,6,1,
91.8333,13.6667,0.333333,6,1,
91.8333,13.6667,1.33333,6,1,
92.8333,13.6667,0.333333,6,1,
92.3333,14.6667,0.333333,6,1,
93.3333,14.6667,-0.666667,6,1,
93.3333,14.6667,0.333333,6,1,
93.3333,14.6667,1.33333,6,1,
96.1667,14.3333,-2.66667,6,1,
97.6667,14,-4,6,1,
55.1667,8.33333,-0.666667,7,1,
55.1667,8.33333,-2.66667,7,1,
54.1667,6.33333,1.33333,7,1,
52,7.33333,1.33333,7,1,
52,7.33333,-0.666667,7,1,
52,7.33333,-2.66667,7,1,
53.1667,4.33333,-0.666667,7,1,
51.1667,4.33333,1.33333,7,1,
49,5.33333,1.33333,7,1,
50,3.33333,1.33333,7,1,
49,5.33333,-2.66667,7,1,
48,3.33333,1.33333,7,1,
48,3.33333,-0.666667,7,1,
46,3.33333,1.33333,7,1,
46,3.33333,-0.666667,7,1,
43,4.66667,0.666667,7,1,
43,4.66667,-1.33333,7,1,
43,4.66667,-3.33333,7,1,
38.5,6.33333,0.333333,7,1,
41.5,2.33333,0.333333,7,1,
42.1667,0.333333,1.33333,7,1,
41,0.666667,0.666667,7,1,
37.1667,3.66667,0.333333,7,1,
39,2,-2,7,1,
38,4.44089e-16,2,7,1,
36,1.33333,1.33333,7,1,
36,1.33333,-0.666667,7,1,
35,4.44089e-16,2,7,1,
35,4.44089e-16,0,7,1,
33,0.666667,0.666667,7,1,
30,2.66667,0.666667,7,1,
30,2.66667,-1.33333,7,1,
29.1667,1,1.66667,7,1,
28.1667,1,2,7,1,
28.1667,1,0,7,1,
27.1667,1.66667,-1.33333,7,1,
25.1667,1,2,7,1,
25.1667,1,0,7,1,
57.1667,8.33333,-2,7,1,
59.1667,5,-0.666667,7,1,
60.8333,5.66667,-2.66667,7,1,
60.8333,5.66667,-1.33333,7,1,
61.8333,8.33333,-3.33333,7,1,
61.8333,8.33333,-0.666667,7,1,
93.8333,9,1,7,1,
91.8333,8.33333,-2,7,1,
94.3333,6.66667,1.66667,7,1,
63.1667,5,-3.33333,7,1,
63.1667,5,-2,7,1,
63.1667,5,-0.666667,7,1,
96.1667,10.3333,-0.666667,7,1,
63.1667,5,2,7,1,
89.8333,8.33333,-3.33333,7,1,
61.8333,8.33333,2,7,1,
89.8333,8.33333,0.666667,7,1,
99.1667,9.66667,1.33333,7,1,
98.6667,8.66667,1.66667,7,1,
95.5,12.3333,-2,7,1,
64.6667,8,1.33333,7,1,
90.8333,11,-2.66667,7,1,
90.8333,11,-4,7,1,
66.1667,9.66667,-2,7,1,
65.1667,6.33333,-2,7,1,
90.8333,11,-1.33333,7,1,
65.1667,6.33333,1,7,1,
65.6667,7.33333,-0.666667,7,1,
98.1667,11,-3.33333,7,1,
98.1667,11,-0.666667,7,1,
82.6667,7.33333,-0.666667,7,1,
66.8333,8.33333,0.666667,7,1,
82.6667,7.33333,-3.33333,7,1,
82.6667,7.33333,0.666667,7,1,
67.5,8.33333,-3.33333,7,1,
82,6,-0.666667,7,1,
82,6,-2,7,1,
82,6,2,7,1,
82,6,-3.33333,7,1,
86.3333,6.66667,-2.66667,7,1,
86.3333,6.66667,1.33333,7,1,
82.6667,7.33333,2,7,1,
66.8333,8.33333,2,7,1,
83.8333,7.66667,1.66667,7,1,
90.8333,11,1.33333,7,1,
92.8333,13,-3.33333,7,1,
87.8333,9,2,7,1,
66.1667,9.66667,2,7,1,
83.3333,8.66667,2,7,1,
92.8333,13,-2,7,1,
84.8333,11.6667,-4,7,1,
92.8333,13,-0.666667,7,1,
84.3333,10.6667,0.333333,7,1,
84.3333,10.6667,1.66667,7,1,
84.8333,11.6667,1.33333,7,1,
